id,name,platform,vr_supported,release_date,url,price,disprice,review
1086940,Baldur's Gate 3,win,False,"Oct 6, 2020",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,$59.99,$59.99,"Very Positive<br>87% of the 52,590 user reviews for this game are positive."
916440,Anno 1800,win,False,Apr 2019,https://store.steampowered.com/app/916440/Anno_1800/,$59.99$14.99,$59.99$14.99,"Very Positive<br>80% of the 5,753 user reviews for this game are positive."
289070,Sid Meier’s Civilization® VI,win,False,"Oct 20, 2016",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,$59.99,$59.99,"Very Positive<br>84% of the 184,395 user reviews for this game are positive."
2221490,Tom Clancy’s The Division® 2,win,False,"Jan 12, 2023",https://store.steampowered.com/app/2221490/Tom_Clancys_The_Division_2/,$29.99$8.99,$29.99$8.99,"Mixed<br>63% of the 3,832 user reviews for this game are positive."
739630,Phasmophobia,win,False,"Sep 18, 2020",https://store.steampowered.com/app/739630/Phasmophobia/,$13.99,$13.99,"Overwhelmingly Positive<br>96% of the 434,432 user reviews for this game are positive."
1144200,Ready or Not,win,False,"Dec 17, 2021",https://store.steampowered.com/app/1144200/Ready_or_Not/,$39.99,$39.99,"Very Positive<br>92% of the 79,959 user reviews for this game are positive."
1361210,"Warhammer 40,000: Darktide",win,False,"Nov 30, 2022",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/,$39.99$31.99,$39.99$31.99,"Mixed<br>54% of the 55,585 user reviews for this game are positive."
242760,The Forest,win,False,"Apr 30, 2018",https://store.steampowered.com/app/242760/The_Forest/,$19.99,$19.99,"Overwhelmingly Positive<br>95% of the 395,357 user reviews for this game are positive."
1945340,Destiny 2: Lightfall,win,False,"Feb 28, 2023",https://store.steampowered.com/app/1945340/Destiny_2_Lightfall/,$49.99,$49.99,"Mostly Negative<br>29% of the 2,874 user reviews for this game are positive."
386360,SMITE®,win,False,"Sep 8, 2015",https://store.steampowered.com/app/386360/SMITE/,0,0,"Mostly Positive<br>79% of the 107,462 user reviews for this game are positive."
1817230,Hi-Fi RUSH,win,False,"Jan 25, 2023",https://store.steampowered.com/app/1817230/HiFi_RUSH/,$29.99,$29.99,"Overwhelmingly Positive<br>98% of the 11,002 user reviews for this game are positive."
413150,Stardew Valley,win,False,"Feb 26, 2016",https://store.steampowered.com/app/413150/Stardew_Valley/,$14.99,$14.99,"Overwhelmingly Positive<br>98% of the 461,416 user reviews for this game are positive."
1151340,Fallout 76,win,False,"Apr 14, 2020",https://store.steampowered.com/app/1151340/Fallout_76/,$39.99,$39.99,"Mostly Positive<br>75% of the 42,530 user reviews for this game are positive."
1938010,WILD HEARTS™,win,False,"Feb 16, 2023",https://store.steampowered.com/app/1938010/WILD_HEARTS/,$69.99,$69.99,"Mixed<br>47% of the 6,325 user reviews for this game are positive."
